object_id,redshift,peak_magnitude,rise_time_days,decay_time_days,color_index,class
OBJ_084,0.1911,-18.73630305307229,33.9,75.2,0.545,TDE
OBJ_085,0.1287,-19.5832304691508,28.8,77.0,0.668,Non-TDE
OBJ_086,0.4035,-16.080672053696585,28.0,73.0,0.498,Non-TDE
OBJ_087,0.2404,-20.052654475193158,50.2,71.3,0.172,TDE
OBJ_088,0.4919,-20.14418611249297,21.5,96.7,0.599,Non-TDE
OBJ_089,0.2054,-19.6960831547418,29.9,84.8,0.461,Non-TDE
OBJ_090,0.4101,-19.71309003648081,32.0,20.4,0.459,Non-TDE
OBJ_091,0.4012,-17.93269651748619,22.0,84.6,0.044,Non-TDE
OBJ_092,0.0839,-22.27103198447289,15.6,79.6,0.659,Non-TDE
OBJ_093,0.259,-18.25979333129653,32.7,107.9,0.529,Non-TDE
OBJ_094,0.3509,-20.018496974845426,48.1,78.7,0.859,Non-TDE
OBJ_095,0.4306,-17.574414634152365,34.0,140.8,0.485,Non-TDE
OBJ_096,0.1697,,30.9,117.9,0.613,Non-TDE
OBJ_097,0.1179,-18.193003055836062,30.8,82.2,0.666,TDE
OBJ_098,0.3585,-19.507485920671176,27.4,113.0,0.151,Non-TDE
OBJ_099,0.4067,-18.725936919262832,41.8,100.5,1.023,Non-TDE
